DATE,COVID_DEATHS,DAILY_DELTA_DEATHS,DAILY_BASE_DEATHS,COVID_COUNT,DAILY_DELTA_CASES,DAILY_BASE_CASES,COVID_COUNT_CUMSUM,COVID_DEATHS_CUMSUM,COVID_COUNT_BY_SPECIMEN_COLLECTION_DATE
2020-02-26,0,0,0,3,0,3,3,0,3
2020-02-27,0,0,0,0,0,0,3,0,0
2020-02-28,0,0,0,0,0,0,3,0,0
2020-02-29,0,0,0,1,0,1,4,0,1
2020-03-01,0,0,0,0,0,0,4,0,0
2020-03-02,0,0,0,0,0,0,4,0,0
2020-03-03,0,0,0,0,0,0,4,0,0
2020-03-04,0,0,0,0,0,0,4,0,0
2020-03-05,0,0,0,0,0,0,4,0,0
2020-03-06,0,0,0,1,0,1,5,0,1
2020-03-07,0,0,0,1,0,1,6,0,1
2020-03-08,0,0,0,2,0,2,8,0,2
2020-03-09,0,0,0,7,0,7,15,0,7
2020-03-10,0,0,0,1,0,1,16,0,1
2020-03-11,0,0,0,7,0,7,23,0,7
2020-03-12,0,0,0,17,0,17,40,0,17
2020-03-13,0,0,0,22,0,22,62,0,22
2020-03-14,0,0,0,28,0,28,90,0,28
2020-03-15,0,0,0,23,0,23,113,0,23
2020-03-16,1,0,1,84,0,84,197,1,84
2020-03-17,2,0,2,93,0,93,290,3,93
2020-03-18,1,0,1,115,0,115,405,4,115
2020-03-19,0,0,0,142,0,142,547,4,142
2020-03-20,6,0,6,217,0,217,764,10,217
2020-03-21,4,0,4,125,0,125,889,14,125
2020-03-22,4,0,4,120,0,120,1009,18,120
2020-03-23,5,0,5,314,0,314,1323,23,314
2020-03-24,5,0,5,367,0,367,1690,28,367
2020-03-25,5,0,5,382,0,382,2072,33,382
2020-03-26,9,0,9,411,0,411,2483,42,411
2020-03-27,3,0,3,437,0,437,2920,45,438
2020-03-28,13,0,13,309,0,309,3229,58,308
2020-03-29,17,0,17,265,0,265,3494,75,265
2020-03-30,14,0,14,443,0,443,3937,89,443
2020-03-31,23,0,23,483,0,483,4420,112,484
2020-04-01,21,0,21,444,0,444,4864,133,443
2020-04-02,21,0,21,485,0,485,5349,154,486
2020-04-03,32,0,32,442,0,442,5791,186,441
2020-04-04,25,0,25,293,0,293,6084,211,293
2020-04-05,32,0,32,248,0,248,6332,243,248
2020-04-06,25,0,25,540,0,540,6872,268,540
2020-04-07,38,0,38,546,0,546,7418,306,546
2020-04-08,29,0,29,564,0,564,7982,335,564
2020-04-09,36,0,36,426,0,426,8408,371,427
2020-04-10,26,0,26,458,0,458,8866,397,457
2020-04-11,23,0,23,263,0,263,9129,420,263
2020-04-12,27,0,27,171,0,171,9300,447,171
2020-04-13,35,0,35,614,0,614,9914,482,614
2020-04-14,47,0,47,632,0,632,10546,529,632
2020-04-15,38,0,38,576,0,576,11122,567,576
2020-04-16,34,0,34,616,0,616,11738,601,616
2020-04-17,35,0,35,650,0,650,12388,636,650
2020-04-18,28,0,28,283,0,283,12671,664,283
2020-04-19,39,0,39,257,0,257,12928,703,257
2020-04-20,37,0,37,729,0,729,13657,740,729
2020-04-21,49,0,49,648,0,648,14305,789,648
2020-04-22,50,0,50,605,0,605,14910,839,605
2020-04-23,38,0,38,1426,0,1426,16336,877,1426
2020-04-24,36,0,36,802,0,802,17138,913,802
2020-04-25,42,0,42,378,0,378,17516,955,378
2020-04-26,35,0,35,232,0,232,17748,990,232
2020-04-27,44,0,44,717,0,717,18465,1034,717
2020-04-28,36,0,36,750,0,750,19215,1070,750
2020-04-29,44,0,44,702,0,702,19917,1114,702
2020-04-30,45,0,45,680,0,680,20597,1159,680
2020-05-01,37,0,37,872,0,872,21469,1196,872
2020-05-02,44,0,44,441,0,441,21910,1240,441
2020-05-03,37,0,37,308,0,308,22218,1277,309
2020-05-04,40,0,40,698,0,698,22916,1317,697
2020-05-05,37,0,37,753,0,753,23669,1354,753
2020-05-06,42,0,42,539,0,539,24208,1396,539
2020-05-07,37,0,37,619,0,619,24827,1433,620
2020-05-08,28,0,28,565,0,565,25392,1461,564
2020-05-09,34,0,34,313,0,313,25705,1495,313
2020-05-10,33,0,33,142,0,142,25847,1528,142
2020-05-11,41,0,41,621,0,621,26468,1569,621
2020-05-12,38,0,38,698,0,698,27166,1607,698
2020-05-13,27,0,27,593,0,593,27759,1634,593
2020-05-14,44,0,44,524,0,524,28283,1678,524
2020-05-15,33,0,33,867,0,867,29150,1711,867
2020-05-16,30,0,30,245,0,245,29395,1741,245
2020-05-17,30,0,30,196,0,196,29591,1771,196
2020-05-18,41,0,41,699,0,699,30290,1812,699
2020-05-19,31,0,31,590,0,590,30880,1843,591
2020-05-20,33,0,33,579,0,579,31459,1876,578
2020-05-21,39,0,39,651,0,651,32110,1915,651
2020-05-22,18,0,18,542,0,542,32652,1933,542
2020-05-23,25,0,25,209,0,209,32861,1958,209
2020-05-24,15,0,15,157,0,157,33018,1973,157
2020-05-25,23,0,23,175,0,175,33193,1996,175
2020-05-26,21,0,21,655,0,655,33848,2017,655
2020-05-27,15,0,15,453,0,453,34301,2032,453
2020-05-28,19,0,19,496,0,496,34797,2051,496
2020-05-29,22,0,22,478,0,478,35275,2073,478
2020-05-30,23,0,23,183,0,183,35458,2096,183
2020-05-31,17,0,17,134,0,134,35592,2113,134
2020-06-01,19,0,19,611,0,611,36203,2132,611
2020-06-02,21,0,21,426,0,426,36629,2153,426
2020-06-03,28,0,28,408,0,408,37037,2181,408
2020-06-04,23,0,23,462,0,462,37499,2204,462
2020-06-05,21,0,21,433,0,433,37932,2225,434
2020-06-06,10,0,10,158,0,158,38090,2235,157
2020-06-07,14,0,14,154,0,154,38244,2249,154
2020-06-08,16,0,16,688,0,688,38932,2265,688
2020-06-09,26,0,26,455,0,455,39387,2291,455
2020-06-10,18,0,18,456,0,456,39843,2309,456
2020-06-11,15,0,15,402,0,402,40245,2324,402
2020-06-12,16,0,16,380,0,380,40625,2340,380
2020-06-13,13,0,13,168,0,168,40793,2353,168
2020-06-14,20,0,20,175,0,175,40968,2373,175
2020-06-15,15,0,15,469,0,469,41437,2388,469
2020-06-16,15,0,15,370,0,370,41807,2403,370
2020-06-17,18,0,18,429,0,429,42236,2421,429
2020-06-18,26,0,26,394,0,394,42630,2447,394
2020-06-19,11,0,11,366,0,366,42996,2458,366
2020-06-20,10,0,10,206,0,206,43202,2468,206
2020-06-21,12,0,12,134,0,134,43336,2480,134
2020-06-22,16,0,16,596,0,596,43932,2496,596
2020-06-23,5,0,5,480,0,480,44412,2501,480
2020-06-24,10,0,10,457,0,457,44869,2511,457
2020-06-25,12,0,12,466,0,466,45335,2523,466
2020-06-26,12,0,12,544,0,544,45879,2535,544
2020-06-27,12,0,12,254,0,254,46133,2547,254
2020-06-28,9,0,9,218,0,218,46351,2556,218
2020-06-29,8,0,8,640,0,640,46991,2564,640
2020-06-30,10,0,10,592,0,592,47583,2574,592
2020-07-01,12,0,12,567,0,567,48150,2586,567
2020-07-02,9,0,9,667,0,667,48817,2595,667
2020-07-03,11,0,11,325,0,325,49142,2606,325
2020-07-04,7,0,7,174,0,174,49316,2613,174
2020-07-05,12,0,12,275,0,275,49591,2625,275
2020-07-06,16,0,16,913,0,913,50504,2641,913
2020-07-07,9,0,9,841,0,841,51345,2650,841
2020-07-08,8,0,8,735,0,735,52080,2658,735
2020-07-09,11,0,11,746,0,746,52826,2669,746
2020-07-10,7,0,7,746,0,746,53572,2676,747
2020-07-11,11,0,11,370,0,370,53942,2687,369
2020-07-12,12,0,12,335,0,335,54277,2699,335
2020-07-13,9,0,9,1022,0,1022,55299,2708,1022
2020-07-14,6,0,6,946,0,946,56245,2714,946
2020-07-15,11,0,11,892,0,892,57137,2725,892
2020-07-16,10,0,10,988,0,988,58125,2735,988
2020-07-17,9,0,9,954,0,954,59079,2744,954
2020-07-18,9,0,9,377,0,377,59456,2753,377
2020-07-19,10,0,10,299,0,299,59755,2763,299
2020-07-20,14,0,14,1031,0,1031,60786,2777,1031
2020-07-21,9,0,9,977,0,977,61763,2786,977
2020-07-22,13,0,13,981,0,981,62744,2799,981
2020-07-23,10,0,10,999,0,999,63743,2809,999
2020-07-24,11,0,11,906,0,906,64649,2820,906
2020-07-25,11,0,11,399,0,399,65048,2831,399
2020-07-26,10,0,10,280,0,280,65328,2841,280
2020-07-27,4,0,4,1050,0,1050,66378,2845,1050
2020-07-28,6,0,6,964,0,964,67342,2851,964
2020-07-29,21,0,21,1053,0,1053,68395,2872,1053
2020-07-30,9,0,9,842,0,842,69237,2881,842
2020-07-31,11,0,11,957,0,957,70194,2892,957
2020-08-01,13,0,13,424,0,424,70618,2905,424
2020-08-02,9,0,9,300,0,300,70918,2914,300
2020-08-03,9,0,9,1189,0,1189,72107,2923,1189
2020-08-04,11,0,11,1127,0,1127,73234,2934,1127
2020-08-05,5,0,5,1081,0,1081,74315,2939,1081
2020-08-06,15,0,15,1069,0,1069,75384,2954,1069
2020-08-07,14,0,14,1063,0,1063,76447,2968,1063
2020-08-08,12,0,12,408,0,408,76855,2980,408
2020-08-09,7,0,7,320,0,320,77175,2987,320
2020-08-10,16,0,16,1324,0,1324,78499,3003,1324
2020-08-11,13,0,13,1021,0,1021,79520,3016,1021
2020-08-12,15,0,15,1114,0,1114,80634,3031,1114
2020-08-13,14,0,14,933,0,933,81567,3045,933
2020-08-14,17,0,17,1071,0,1071,82638,3062,1071
2020-08-15,12,0,12,394,0,394,83032,3074,394
2020-08-16,12,0,12,342,0,342,83374,3086,342
2020-08-17,22,0,22,1271,0,1271,84645,3108,1271
2020-08-18,5,0,5,1156,0,1156,85801,3113,1156
2020-08-19,17,0,17,1110,0,1110,86911,3130,1110
2020-08-20,16,0,16,989,0,989,87900,3146,989
2020-08-21,8,0,8,970,0,970,88870,3154,970
2020-08-22,15,0,15,440,0,440,89310,3169,440
2020-08-23,12,0,12,363,0,363,89673,3181,363
2020-08-24,14,0,14,1273,0,1273,90946,3195,1274
2020-08-25,11,0,11,1123,0,1123,92069,3206,1122
2020-08-26,4,0,4,1200,0,1200,93269,3210,1200
2020-08-27,16,0,16,1076,0,1076,94345,3226,1076
2020-08-28,9,0,9,1017,0,1017,95362,3235,1017
2020-08-29,12,0,12,478,0,478,95840,3247,478
2020-08-30,9,0,9,324,0,324,96164,3256,324
2020-08-31,13,0,13,1349,0,1349,97513,3269,1349
2020-09-01,7,0,7,1081,0,1081,98594,3276,1081
2020-09-02,10,0,10,1104,0,1104,99698,3286,1104
2020-09-03,6,0,6,1069,0,1069,100767,3292,1069
2020-09-04,14,0,14,963,0,963,101730,3306,963
2020-09-05,11,0,11,438,0,438,102168,3317,438
2020-09-06,14,0,14,284,0,284,102452,3331,284
2020-09-07,11,0,11,369,0,369,102821,3342,369
2020-09-08,16,0,16,1358,0,1358,104179,3358,1358
2020-09-09,13,0,13,1063,0,1063,105242,3371,1063
2020-09-10,12,0,12,988,0,988,106230,3383,988
2020-09-11,12,0,12,994,0,994,107224,3395,994
2020-09-12,4,0,4,356,0,356,107580,3399,356
2020-09-13,17,0,17,301,0,301,107881,3416,301
2020-09-14,14,0,14,1212,0,1212,109093,3430,1212
2020-09-15,12,0,12,1013,0,1013,110106,3442,1013
2020-09-16,8,0,8,919,0,919,111025,3450,919
2020-09-17,15,0,15,854,0,854,111879,3465,854
2020-09-18,12,0,12,799,0,799,112678,3477,799
2020-09-19,10,0,10,382,0,382,113060,3487,382
2020-09-20,7,0,7,290,0,290,113350,3494,290
2020-09-21,11,0,11,1209,0,1209,114559,3505,1209
2020-09-22,15,0,15,1157,0,1157,115716,3520,1157
2020-09-23,17,0,17,1155,0,1155,116871,3537,1155
2020-09-24,13,0,13,1095,0,1095,117966,3550,1095
2020-09-25,13,0,13,991,0,991,118957,3563,991
2020-09-26,24,0,24,513,0,513,119470,3587,513
2020-09-27,12,0,12,430,0,430,119900,3599,430
2020-09-28,20,0,20,1744,0,1744,121644,3619,1744
2020-09-29,19,0,19,1483,0,1483,123127,3638,1483
2020-09-30,13,0,13,1330,0,1330,124457,3651,1330
2020-10-01,19,0,19,1313,0,1313,125770,3670,1314
2020-10-02,19,0,19,1295,0,1295,127065,3689,1294
2020-10-03,24,0,24,611,0,611,127676,3713,611
2020-10-04,16,0,16,566,0,566,128242,3729,567
2020-10-05,14,0,14,2049,0,2049,130291,3743,2049
2020-10-06,15,0,15,1791,0,1791,132082,3758,1790
2020-10-07,19,0,19,1876,0,1876,133958,3777,1876
2020-10-08,23,0,23,1982,0,1982,135940,3800,1982
2020-10-09,25,0,25,1935,0,1935,137875,3825,1935
2020-10-10,17,0,17,952,0,952,138827,3842,952
2020-10-11,21,0,21,774,0,774,139601,3863,774
2020-10-12,23,0,23,2517,0,2517,142118,3886,2517
2020-10-13,29,0,29,2482,0,2482,144600,3915,2482
2020-10-14,20,0,20,2272,0,2272,146872,3935,2272
2020-10-15,35,0,35,2211,0,2211,149083,3970,2211
2020-10-16,42,0,42,2034,0,2034,151117,4012,2035
2020-10-17,24,0,24,1053,0,1053,152170,4036,1052
2020-10-18,30,0,30,809,0,809,152979,4066,809
2020-10-19,20,0,20,3264,0,3264,156243,4086,3265
2020-10-20,36,0,36,2775,0,2775,159018,4122,2774
2020-10-21,33,0,33,2794,0,2794,161812,4155,2795
2020-10-22,36,0,36,2936,0,2936,164748,4191,2935
2020-10-23,28,0,28,2742,0,2742,167490,4219,2742
2020-10-24,25,0,25,1460,0,1460,168950,4244,1461
2020-10-25,30,0,30,1087,0,1087,170037,4274,1086
2020-10-26,41,0,41,4337,0,4337,174374,4315,4337
2020-10-27,41,0,41,3656,0,3656,178030,4356,3656
2020-10-28,35,0,35,3726,0,3726,181756,4391,3726
2020-10-29,39,0,39,3952,0,3952,185708,4430,3952
2020-10-30,50,0,50,3553,0,3553,189261,4480,3553
2020-10-31,35,0,35,1828,0,1828,191089,4515,1829
2020-11-01,40,0,40,1612,0,1612,192701,4555,1611
2020-11-02,43,0,43,5539,0,5539,198240,4598,5539
2020-11-03,42,0,42,5179,0,5179,203419,4640,5179
2020-11-04,52,0,52,6120,0,6120,209539,4692,6120
2020-11-05,40,0,40,6541,0,6541,216080,4732,6541
2020-11-06,57,0,57,6014,0,6014,222094,4789,6014
2020-11-07,49,0,49,3254,0,3254,225348,4838,3255
2020-11-08,61,0,61,2453,0,2453,227801,4899,2452
2020-11-09,44,0,44,9151,0,9151,236952,4943,9151
2020-11-10,61,0,61,8904,0,8904,245856,5004,8905
2020-11-11,59,0,59,6678,0,6678,252534,5063,6677
2020-11-12,41,0,41,8068,0,8068,260602,5104,8069
2020-11-13,46,0,46,6801,0,6801,267403,5150,6800
2020-11-14,52,0,52,3521,0,3521,270924,5202,3522
2020-11-15,70,0,70,2372,0,2372,273296,5272,2371
2020-11-16,62,0,62,9197,0,9197,282493,5334,9197
2020-11-17,83,0,83,8036,0,8036,290529,5417,8037
2020-11-18,74,0,74,7142,0,7142,297671,5491,7141
2020-11-19,78,0,78,7252,0,7252,304923,5569,7253
2020-11-20,72,0,72,6682,0,6682,311605,5641,6681
2020-11-21,69,0,69,3536,0,3536,315141,5710,3537
2020-11-22,78,0,78,2440,0,2440,317581,5788,2439
2020-11-23,88,0,88,8848,0,8848,326429,5876,8849
2020-11-24,82,0,82,7783,0,7783,334212,5958,7782
2020-11-25,84,0,84,6879,0,6879,341091,6042,6879
2020-11-26,95,0,95,1031,0,1031,342122,6137,1032
2020-11-27,86,0,86,5602,0,5602,347724,6223,5602
2020-11-28,73,0,73,3978,0,3978,351702,6296,3977
2020-11-29,81,0,81,2976,0,2976,354678,6377,2977
2020-11-30,84,0,84,10127,0,10127,364805,6461,10126
2020-12-01,87,0,87,8415,0,8415,373220,6548,8415
2020-12-02,100,0,100,7362,0,7362,380582,6648,7363
2020-12-03,90,0,90,7389,0,7389,387971,6738,7388
2020-12-04,99,0,99,6721,0,6721,394692,6837,6721
2020-12-05,97,0,97,3447,0,3447,398139,6934,3447
2020-12-06,90,0,90,2520,0,2520,400659,7024,2520
2020-12-07,95,0,95,9028,0,9028,409687,7119,9030
2020-12-08,111,0,111,7394,0,7394,417081,7230,7392
2020-12-09,105,0,105,6587,0,6587,423668,7335,6591
2020-12-10,108,0,108,6648,0,6648,430316,7443,6645
2020-12-11,110,0,110,5941,0,5941,436257,7553,5940
2020-12-12,97,0,97,3256,0,3256,439513,7650,3256
2020-12-13,87,0,87,2442,0,2442,441955,7737,2443
2020-12-14,107,0,107,8175,0,8175,450130,7844,8176
2020-12-15,95,0,95,6727,0,6727,456857,7939,6725
2020-12-16,94,0,94,5554,0,5554,462411,8033,5554
2020-12-17,115,0,115,5640,0,5640,468051,8148,5640
2020-12-18,110,0,110,5247,0,5247,473298,8258,5249
2020-12-19,96,0,96,3067,0,3067,476365,8354,3065
2020-12-20,88,0,88,2262,0,2262,478627,8442,2262
2020-12-21,107,0,107,7315,0,7315,485942,8549,7315
2020-12-22,84,0,84,5743,0,5743,491685,8633,5743
2020-12-23,94,0,94,5182,0,5182,496867,8727,5182
2020-12-24,79,0,79,3116,0,3116,499983,8806,3116
2020-12-25,91,0,91,612,0,612,500595,8897,612
2020-12-26,95,0,95,3767,0,3767,504362,8992,3767
2020-12-27,95,0,95,2802,0,2802,507164,9087,2803
2020-12-28,105,0,105,7917,0,7917,515081,9192,7918
2020-12-29,125,0,125,6617,0,6617,521698,9317,6617
2020-12-30,103,0,103,5915,0,5915,527613,9420,5914
2020-12-31,79,0,79,4885,0,4885,532498,9499,4885
2021-01-01,86,0,86,1234,0,1234,533732,9585,1238
2021-01-02,99,0,99,4666,0,4666,538398,9684,4665
2021-01-03,74,0,74,3028,0,3028,541426,9758,3031
2021-01-04,118,0,118,8641,0,8641,550067,9876,8653
2021-01-05,72,0,72,6585,0,6585,556652,9948,6569
2021-01-06,90,0,90,5473,0,5473,562125,10038,5487
2021-01-07,82,0,82,5255,0,5255,567380,10120,5242
2021-01-08,68,0,68,4450,0,4450,571830,10188,4451
2021-01-09,78,0,78,2706,0,2706,574536,10266,2701
2021-01-10,62,0,62,2198,0,2198,576734,10328,2202
2021-01-11,77,0,77,5551,0,5551,582285,10405,5549
2021-01-12,65,0,65,4439,0,4439,586724,10470,4437
2021-01-13,73,0,73,3838,0,3838,590562,10543,3839
2021-01-14,75,0,75,3815,0,3815,594377,10618,3814
2021-01-15,70,0,70,3267,0,3267,597644,10688,3267
2021-01-16,77,0,77,2041,0,2041,599685,10765,2041
2021-01-17,73,0,73,1718,0,1718,601403,10838,1718
2021-01-18,74,0,74,3731,0,3731,605134,10912,3732
2021-01-19,53,0,53,3577,0,3577,608711,10965,3576
2021-01-20,71,0,71,3130,0,3130,611841,11036,3130
2021-01-21,59,0,59,2956,0,2956,614797,11095,2956
2021-01-22,73,0,73,2674,0,2674,617471,11168,2674
2021-01-23,54,0,54,1551,0,1551,619022,11222,1551
2021-01-24,56,0,56,1224,0,1224,620246,11278,1225
2021-01-25,52,0,52,3261,0,3261,623507,11330,3260
2021-01-26,56,0,56,2490,0,2490,625997,11386,2491
2021-01-27,59,0,59,2286,0,2286,628283,11445,2285
2021-01-28,58,0,58,2179,0,2179,630462,11503,2180
2021-01-29,54,0,54,1996,0,1996,632458,11557,1995
2021-01-30,52,0,52,1161,0,1161,633619,11609,1162
2021-01-31,46,0,46,906,0,906,634525,11655,906
2021-02-01,49,0,49,2541,0,2541,637066,11704,2540
2021-02-02,54,0,54,2047,0,2047,639113,11758,2048
2021-02-03,53,0,53,1939,0,1939,641052,11811,1938
2021-02-04,43,0,43,1796,0,1796,642848,11854,1796
2021-02-05,32,0,32,1473,0,1473,644321,11886,1473
2021-02-06,29,0,29,981,0,981,645302,11915,981
2021-02-07,30,0,30,788,0,788,646090,11945,788
2021-02-08,26,0,26,1903,0,1903,647993,11971,1903
2021-02-09,36,0,36,1538,0,1538,649531,12007,1539
2021-02-10,31,0,31,1304,0,1304,650835,12038,1303
2021-02-11,21,0,21,1291,0,1291,652126,12059,1291
2021-02-12,29,0,29,1209,0,1209,653335,12088,1209
2021-02-13,21,0,21,707,0,707,654042,12109,707
2021-02-14,22,0,22,576,0,576,654618,12131,577
2021-02-15,31,0,31,1064,0,1064,655682,12162,1063
2021-02-16,25,0,25,699,0,699,656381,12187,699
2021-02-17,28,0,28,1283,0,1283,657664,12215,1283
2021-02-18,15,0,15,1109,0,1109,658773,12230,1111
2021-02-19,10,0,10,1005,0,1005,659778,12240,1004
2021-02-20,31,0,31,619,0,619,660397,12271,618
2021-02-21,21,0,21,535,0,535,660932,12292,535
2021-02-22,22,0,22,1267,0,1267,662199,12314,1268
2021-02-23,17,0,17,907,0,907,663106,12331,906
2021-02-24,19,0,19,932,0,932,664038,12350,932
2021-02-25,17,0,17,825,0,825,664863,12367,825
2021-02-26,15,0,15,743,0,743,665606,12382,743
2021-02-27,12,0,12,509,0,509,666115,12394,509
2021-02-28,16,0,16,406,0,406,666521,12410,406
2021-03-01,14,0,14,1008,0,1008,667529,12424,1008
2021-03-02,26,0,26,905,0,905,668434,12450,905
2021-03-03,11,0,11,827,0,827,669261,12461,827
2021-03-04,13,0,13,832,0,832,670093,12474,832
2021-03-05,17,0,17,763,0,763,670856,12491,763
2021-03-06,13,0,13,451,0,451,671307,12504,451
2021-03-07,13,0,13,424,0,424,671731,12517,424
2021-03-08,14,0,14,1072,0,1072,672803,12531,1072
